Station Name,Province,Year,Mean Temperature (C),Total Precipitation (mm)
MAIN BROOK,NL,1983,15.2,126.5
BATTLE HARBOUR LOR,NL,1983,9.7,156.2
CHURCHILL FALLS A,NL,1983,13.3,102.0
GOOSE A,NL,1983,15.8,150.3
HOPEDALE (AUT),NL,1983,11.1,138.5
MAKKOVIK,NL,1983,13.1,149.8
WABUSH LAKE A,NL,1983,12.8,155.7
CORDOVA BAY SOUTH,BC,1984,16.8,2.4
COWICHAN LAKE FORESTRY,BC,1984,17.4,16.9
COWICHAN LAKE VILLAGE,BC,1984,17.5,8.2
DUNCAN FORESTRY,BC,1984,17.0,4.8
GALIANO NORTH,BC,1984,17.6,8.8
MAYNE ISLAND,BC,1984,16.8,5.4
NORTH PENDER ISLAND,BC,1984,15.6,6.0
PORT RENFREW,BC,1984,15.1,13.6
SAANICHTON CDA,BC,1984,16.9,3.2
SALTSPRING IS CUSHEON LK,BC,1984,16.1,2.0
SALTSPRING ST MARY'S L,BC,1984,17.5,16.0
SATURNA ISLAND CS,BC,1984,15.9,14.2
SHAWNIGAN LAKE,BC,1984,17.1,2.2
VICTORIA INT'L A,BC,1984,16.6,1.2
VICTORIA MARINE,BC,1984,14.2,0.6
WILLIAM HEAD,BC,1984,16.2,0.4
VICTORIA PHYLLIS STREET,BC,1984,16.0,0.7
ALERT BAY,BC,1984,13.9,59.5
CAMPBELL RIVER A,BC,1984,16.7,25.1
CAMPBELL RIVER STP,BC,1984,16.9,15.3
CAMPBELL RIVER SURFSIDE,BC,1984,16.2,12.8
CAPE MUDGE,BC,1984,16.9,21.6
CHATHAM POINT,BC,1984,15.9,22.6
COAL HARBOUR RUPERT IN,BC,1984,14.9,36.8
COMOX A,BC,1984,17.6,10.6
COMOX PCC,BC,1984,17.1,16.7
COOMBS,BC,1984,16.7,9.2
CORTES ISLAND,BC,1984,18.1,10.4
COURTENAY GRANTHAM,BC,1984,17.1,15.4
GABRIOLA ISLAND,BC,1984,16.6,5.8
HERIOT BAY SE,BC,1984,16.8,15.2
LITTLE QUALICUM HATCHERY,BC,1984,16.3,14.5
MUD BAY,BC,1984,17.2,12.2
MYRA CREEK,BC,1984,18.2,8.8
NANAIMO A,BC,1984,18.0,7.4
OYSTER RIVER UBC,BC,1984,16.7,11.2
PARKSVILLE SOUTH,BC,1984,17.6,5.6
NANAIMO DEPARTURE BAY,BC,1984,18.2,5.6
PORT HARDY A,BC,1984,13.7,56.0
QUALICUM R FISH RESEARCH,BC,1984,16.2,15.0
QUINSAM RIVER HATCHERY,BC,1984,16.7,24.2
UPPER CAMPBELL LAKE,BC,1984,16.6,8.4
ALBERNI ROBERTSON CREEK,BC,1984,18.1,12.2
AMPHITRITE POINT,BC,1984,13.6,53.7
BAMFIELD EAST,BC,1984,13.9,19.0
BULL HARBOUR,BC,1984,12.7,79.9
CAPE SCOTT,BC,1984,13.0,73.4
CARNATION CREEK CDF,BC,1984,15.6,20.6
ESTEVAN POINT,BC,1984,13.7,42.8
GOLD RIVER TOWNSITE,BC,1984,17.4,20.8
HOLBERG FIRE DEPT,BC,1984,14.2,88.5
NITINAT RIVER HATCHERY,BC,1984,15.6,8.8
NOOTKA LIGHTSTATION,BC,1984,15.2,46.8
PACHENA POINT,BC,1984,13.5,26.2
PORT ALBERNI A,BC,1984,17.0,12.0
PORT ALICE,BC,1984,15.9,19.8
QUATSINO,BC,1984,14.7,30.8
QUATSINO LIGHTSTATION,BC,1984,14.3,48.3
TAHSIS,BC,1984,16.5,69.4
TOFINO A,BC,1984,14.1,30.4
WINTER HARBOUR,BC,1984,14.4,110.0
CLOWHOM FALLS,BC,1984,17.5,7.3
GIBSONS,BC,1984,17.2,4.1
GIBSONS GOWER POINT,BC,1984,17.4,3.3
JERVIS INLET VANC BAY,BC,1984,17.7,19.6
MALIBU JERVIS INLET,BC,1984,18.6,22.1
MERRY ISLAND LIGHTSTATION,BC,1984,17.9,4.2
PORT MELLON,BC,1984,17.6,10.9
POWELL RIVER,BC,1984,18.0,29.6
POWELL RIVER A,BC,1984,17.0,6.6
POWELL RIVER WESTVIEW,BC,1984,17.8,8.6
SQUAMISH,BC,1984,17.1,19.0
SQUAMISH STP,BC,1984,16.9,17.4
SQUAMISH UPPER,BC,1984,17.4,13.5
TEXADA ISLAND A,BC,1984,16.7,10.0
WHISTLER,BC,1984,15.2,11.8
WOODFIBRE,BC,1984,16.5,23.8
CAPE ST JAMES,BC,1984,12.7,53.0
LANGARA,BC,1984,12.3,98.3
MASSET TOW HILL,BC,1984,12.6,66.4
PALLANT CREEK,BC,1984,12.8,50.0
SANDSPIT A,BC,1984,13.4,63.5
SEWELL INLET,BC,1984,13.1,119.5
TASU SOUND,BC,1984,12.8,181.0
TLELL,BC,1984,12.8,88.0
SEWALL MASSET INLET,BC,1984,13.1,71.0
ADDENBROKE ISLAND,BC,1984,14.2,98.4
BELLA COOLA,BC,1984,16.0,54.0
BELLA COOLA A,BC,1984,16.3,33.5
BELLA COOLA BC HYDRO,BC,1984,16.0,73.7
BOAT BLUFF,BC,1984,14.2,180.4
BONILLA ISLAND,BC,1984,13.0,108.7
DAWSONS LANDING,BC,1984,15.5,9.6
DRYAD POINT,BC,1984,14.8,137.7
EGG ISLAND,BC,1984,13.3,72.7
ETHELDA BAY,BC,1984,12.9,102.4
GREEN ISLAND,BC,1984,13.8,179.3
HARTLEY BAY,BC,1984,14.4,152.0
KEMANO,BC,1984,14.9,48.8
KILDALA,BC,1984,14.5,73.2
KINGCOME INLET,BC,1984,15.3,75.0
KITIMAT,BC,1984,15.2,39.2
KITIMAT TOWNSITE,BC,1984,14.8,52.9
KITIMAT 2,BC,1984,15.4,46.2
LAWYER ISLAND,BC,1984,12.4,157.2
MCINNES ISLAND,BC,1984,14.0,100.4
MINSTREL ISLAND,BC,1984,16.6,34.0
OCEAN FALLS,BC,1984,15.2,154.9
POINTER ISLAND,BC,1984,14.6,104.0
PRINCE RUPERT A,BC,1984,12.8,222.3
STEWART A,BC,1984,13.7,88.1
TERRACE A,BC,1984,14.8,72.6
TERRACE PCC,BC,1984,15.3,58.8
TERRACE GOSSAN CREEK,BC,1984,15.0,71.0
BABINE LAKE PINKUT CREEK,BC,1984,13.9,21.7
EQUITY SILVER,BC,1984,10.5,37.2
HAZELTON TEMLEHAN,BC,1984,15.0,42.0
HAZELTON,BC,1984,14.6,55.4
MURDER CREEK,BC,1984,13.9,92.0
NASS CAMP,BC,1984,14.2,87.2
QUICK,BC,1984,13.4,33.9
ROSSWOOD,BC,1984,14.8,78.8
SMITHERS A,BC,1984,13.9,31.3
TELKWA COAL MINE RD,BC,1984,13.7,20.9
TELKWA WOODMERE RD,BC,1984,10.5,23.6
TOPLEY LANDING,BC,1984,13.8,22.4
CEDARVALE,BC,1984,15.8,51.2
SUSKWA VALLEY,BC,1984,13.8,54.3
ALEXIS CREEK,BC,1984,15.8,22.2
ANAHIM LAKE 5 MILE RANCH,BC,1984,9.6,16.6
BIG CREEK,BC,1984,13.7,37.7
KLEENA KLEENE 2,BC,1984,13.3,9.0
LUNCH LAKE,BC,1984,13.1,17.4
MOSLEY CREEK SAND CREEK,BC,1984,14.2,20.4
NADINA RIVER,BC,1984,11.1,14.0
OOTSA L SKINS L SPILLWAY,BC,1984,12.9,22.3
PEMBERTON AIRPORT,BC,1984,18.4,5.8
PEMBERTON BCFS,BC,1984,17.3,9.2
PEMBERTON WOLVERINE CR,BC,1984,19.2,12.2
PUNTCHESAKUT LAKE,BC,1984,13.6,47.4
REDSTONE STUART RANCH,BC,1984,14.0,26.4
TAHTSA LAKE WEST,BC,1984,10.3,58.8
TATLA LAKE BCFS,BC,1984,13.9,15.2
TATLAYOKO LAKE,BC,1984,12.4,19.0
WISTARIA,BC,1984,12.3,16.8
BALDY HUGHES,BC,1984,14.8,63.2
BARKERVILLE,BC,1984,12.2,86.6
BOWRON LAKE,BC,1984,13.1,75.8
BURNS LAKE,BC,1984,13.5,15.9
CAMILLE LAKE,BC,1984,14.0,35.8
DOME CREEK,BC,1984,14.3,90.3
DUNSTER,BC,1984,15.2,44.0
FORT FRASER 13S,BC,1984,13.2,38.4
FORT ST JAMES,BC,1984,14.7,25.0
FORT ST JAMES A,BC,1984,14.0,21.6
HIXON,BC,1984,16.1,51.0
KALDER LAKE,BC,1984,12.2,40.4
KERSLEY,BC,1984,15.9,39.2
LAC LA HACHE,BC,1984,15.3,16.8
LIKELY,BC,1984,15.0,26.5
LORSTA WILLIAMS LAKE,BC,1984,14.9,37.4
MCBRIDE NORTH,BC,1984,15.2,57.6
MCBRIDE S & W RANCH,BC,1984,15.0,50.8
MCLEESE LAKE FRASERVIEW,BC,1984,17.3,32.0
MCLEESE LAKE GRANITE MT,BC,1984,14.4,55.4
MOUNT ROBSON RANCH,BC,1984,15.7,29.0
PRINCE GEORGE A,BC,1984,14.9,41.6
PRINCE GEORGE 15NW,BC,1984,14.9,32.2
PRINCE GEORGE STP,BC,1984,16.2,46.2
QUESNEL A,BC,1984,16.7,59.4
SPOKIN LAKE 4E,BC,1984,13.3,27.2
TACHIE 1SE,BC,1984,15.8,1.9
TETE JAUNE,BC,1984,15.6,27.2
TWAN CREEK,BC,1984,14.1,45.0
WILLIAMS LAKE A,BC,1984,15.7,40.8
WILLIAMS LAKE RIVER,BC,1984,17.4,28.8
VANDERHOOF,BC,1984,15.5,29.0
FRASER LAKE NORTH SHORE,BC,1984,14.0,27.0
STRATHNAVER,BC,1984,14.7,36.4
WINEGLASS RANCH,BC,1984,18.7,21.6
ABBOTSFORD A,BC,1984,17.0,22.9
AGASSIZ CDA,BC,1984,18.2,24.1
ALDERGROVE 2,BC,1984,17.0,11.2
BURNABY MTN TERMINAL,BC,1984,18.1,15.2
BURNABY SIMON FRASER U,BC,1984,16.2,10.0
BURNABY CARIBOO DAM,BC,1984,17.4,9.0
CHILLIWACK CITY,BC,1984,18.8,18.0
CHILLIWACK GIBSON ROAD,BC,1984,18.7,7.0
CHILLIWACK WESTVIEW,BC,1984,19.1,23.3
CHILLIWACK R HATCHERY,BC,1984,17.0,13.7
CULTUS LAKE,BC,1984,18.4,18.2
CULTUS LAKE LINDELL,BC,1984,17.7,22.8
DELTA LADNER SOUTH,BC,1984,16.5,1.8
DEROCHE,BC,1984,18.2,32.6
ELBOW LAKE,BC,1984,17.5,17.2
HANEY EAST,BC,1984,17.4,20.4
HANEY UBC RF ADMIN,BC,1984,17.2,22.1
HOLLYBURN RIDGE,BC,1984,12.7,3.2
LAIDLAW,BC,1984,18.7,19.6
LANGLEY LOCHIEL,BC,1984,16.9,9.4
LIONS BAY,BC,1984,17.8,26.8
MISSION WEST ABBEY,BC,1984,18.1,21.6
N VANC GROUSE MTN RESORT,BC,1984,13.1,15.3
PITT POLDER,BC,1984,17.1,16.4
PORT COQUITLAM CITY YARD,BC,1984,19.3,4.6
ROSEDALE,ON,1984,18.9,70.7
PORT MOODY GLENAYRE,BC,1984,18.0,7.1
RICHMOND NATURE PARK,BC,1984,17.7,1.6
SARDIS,BC,1984,17.9,15.7
SURREY MUNICIPAL HALL,BC,1984,17.1,4.8
SURREY NEWTON,BC,1984,17.6,10.9
SURREY WHITE ROCK,BC,1984,16.7,2.7
VANCOUVER HARBOUR CS,BC,1984,17.8,3.8
VANCOUVER INT'L A,BC,1984,17.2,3.9
VANCOUVER RUPERT ST,BC,1984,18.4,7.0
VANCOUVER UBC,BC,1984,17.0,1.2
W VANC CAPILANO GCC,BC,1984,15.8,5.0
WHALLEY FOREST NURSERY,BC,1984,17.8,22.4
WHISTLER ROUNDHOUSE,BC,1984,8.2,13.6
WHITE ROCK STP,BC,1984,16.8,8.0
VANCOUVER WALES ST,BC,1984,18.2,4.4
N VANC GRAND BLVD,BC,1984,17.6,5.5
PITT MEADOWS STP,BC,1984,17.4,9.8
N VAN SEYMOUR HATCHERY,BC,1984,16.6,20.3
BOSTON BAR,BC,1984,21.7,4.0
BIRKENHEAD LAKE,BC,1984,15.8,10.2
GATES STATION,BC,1984,18.7,14.0
HELLS GATE,BC,1984,20.3,11.8
HOPE A,BC,1984,18.4,20.5
HOPE SLIDE,BC,1984,15.1,29.3
LADNER CREEK,BC,1984,15.4,31.4
LILLOOET SETON BCHPA,BC,1984,21.9,12.8
LYTTON,BC,1984,17.7,119.4
PORCUPINE CREEK,BC,1984,14.0,31.4
SHALALTH,BC,1984,20.9,7.5
BANKIER CHAIN LAKE,BC,1984,14.4,8.7
DOUGLAS LAKE,BC,1984,16.0,13.0
GRANITE CREEK,BC,1984,16.6,7.0
HEDLEY,BC,1984,20.7,5.0
HIGHLAND VALLEY BCCL,BC,1984,14.9,14.9
HIGHLAND VALLEY LORNEX,BC,1984,14.9,8.9
JOE RICH CREEK,BC,1984,15.5,11.0
KELOWNA A,BC,1984,19.8,10.6
KELOWNA EAST,BC,1984,20.6,6.6
KELOWNA PC BURNETTS NURSERY,BC,1984,20.9,19.8
KEREMEOS 2,BC,1984,21.7,2.2
MCCULLOCH,BC,1984,13.8,16.1
MEADOWGREEN,BC,1984,11.9,7.0
MERRITT STP,BC,1984,18.6,5.7
NICOLA LAKE,BC,1984,17.2,13.8
OKANAGAN CENTRE,BC,1984,20.1,17.0
OK FALLS MCLEAN CRK,BC,1984,20.3,8.8
OLIVER,BC,1984,21.4,0.8
OLIVER STP,BC,1984,22.0,0.2
OSOYOOS WEST,BC,1984,22.4,10.8
OYAMA,BC,1984,19.8,14.0
PEACHLAND,BC,1984,21.6,4.3
PEACHLAND BRENDA MINES,BC,1984,14.5,6.4
PENTICTON A,BC,1984,20.7,12.0
PRINCETON A,BC,1984,17.8,4.4
SIMILKAMEEN COPPER MTN,BC,1984,15.9,4.2
SIMILKAMEEN MINE,BC,1984,17.7,5.2
SUMMERLAND CDA,BC,1984,21.2,9.8
VERNON,BC,1984,20.7,11.8
VERNON COLDSTREAM RANCH,BC,1984,20.1,6.1
WESTBANK,BC,1984,20.6,7.4
WESTBANK IRRIGATION,BC,1984,22.0,10.1
WINFIELD,BC,1984,15.7,23.2
BEAVERDELL NORTH,BC,1984,16.5,19.6
CHRISTIAN VALLEY,BC,1984,15.6,1.4
GRAND FORKS,BC,1984,20.1,7.2
CASTLEGAR A,BC,1984,20.6,10.0
CASTLEGAR BCHPA DAM,BC,1984,20.5,7.4
CRESTON,BC,1984,20.0,5.0
CRESTON WPCC,BC,1984,19.0,3.8
DEER PARK,BC,1984,19.8,6.6
DUNCAN LAKE DAM,BC,1984,17.2,25.4
FAUQUIER,BC,1984,19.5,3.6
KASLO,BC,1984,18.3,20.2
NAKUSP,BC,1984,18.9,14.8
NEW DENVER,BC,1984,19.3,16.4
ROSSLAND MACLEAN,BC,1984,18.0,10.2
SOUTH SLOCAN,BC,1984,20.6,9.0
WARFIELD,BC,1984,20.5,6.7
CORBIN,BC,1984,14.2,7.2
CRANBROOK A,BC,1984,19.2,34.8
CRANBROOK MAYOOK,BC,1984,18.1,37.2
FERNIE,BC,1984,17.0,53.6
FORDING RIVER CLODE CRK,BC,1984,13.3,18.9
FORDING RIVER COMINCO,BC,1984,15.1,21.8
CRANBROOK CITY,BC,1984,18.6,22.6
FT STEELE DANDY CRK,BC,1984,18.4,30.2
GRASMERE,BC,1984,19.1,15.9
KOOTENAY NP KTNY CRSG,BC,1984,14.2,34.1
KOOTENAY NP WEST GATE,BC,1984,19.0,21.0
MARYSVILLE,BC,1984,17.7,31.7
NATAL HARMER RIDGE,BC,1984,14.5,26.8
SPARWOOD,BC,1984,16.0,38.6
WARDNER KTNY HATCHERY,BC,1984,18.1,33.2
WASA,BC,1984,18.0,18.8
ARMSTRONG NORTH,BC,1984,19.2,13.0
ASHCROFT NORTH,BC,1984,22.0,14.3
ASHCROFT VENABLES VLY,BC,1984,18.3,19.7
BARRIERE,BC,1984,19.0,34.4
BLUE RIVER A,BC,1984,16.4,35.0
BLUE RIVER NORTH,BC,1984,16.1,31.3
BRIDGE LAKE 2,BC,1984,14.3,40.2
CACHE CREEK 16 MILE,BC,1984,19.4,18.6
CLEARWATER,AB,1984,13.8,41.0
CLEARWATER AXEL CRK,BC,1984,17.1,44.7
CLEARWATER BLACKPOOL,BC,1984,18.6,24.6
DARFIELD,BC,1984,19.2,30.8
EAGLE BAY,BC,1984,18.6,25.6
FALKLAND SALMON VALLEY,BC,1984,18.7,4.0
HEFFLEY CREEK,BC,1984,17.0,21.6
HORSE LAKE,BC,1984,14.5,16.7
KAMLOOPS A,BC,1984,21.5,15.5
KAMLOOPS AFTON MINES,BC,1984,19.6,20.6
LOON LAKE,BC,1984,17.0,22.9
LUMBY SIGALET RD,BC,1984,18.5,11.6
LONE BUTTE 2,BC,1984,13.3,24.4
LONE BUTTE 3,BC,1984,13.5,18.7
MCLURE,BC,1984,19.1,26.0
MT LOLO ADMIN KAMLOOPS,BC,1984,17.0,18.9
100 MILE HOUSE,BC,1984,14.7,25.1
RED LAKE 2,BC,1984,13.9,11.0
SALMON ARM 2,BC,1984,20.0,15.4
SALMON ARM A,BC,1984,18.5,20.3
70 MILE HOUSE,BC,1984,13.3,35.0
SEYMOUR ARM,BC,1984,18.2,41.2
SICAMOUS 2,BC,1984,18.7,27.8
SORRENTO EAST,BC,1984,19.3,24.2
SPENCES BRIDGE NICOLA,BC,1984,22.5,15.2
VAVENBY,BC,1984,18.2,19.2
WESTWOLD,BC,1984,17.9,15.4
MONTE LAKE PAXTON VALLEY,BC,1984,16.2,23.0
BOBBIE BURNS,BC,1984,13.7,17.2
BRISCO,BC,1984,18.0,21.3
BUGABOO CREEK LODGE,BC,1984,12.1,85.8
CARIBOO LODGE,BC,1984,12.4,47.2
GLACIER NP ROGERS PASS,BC,1984,13.5,40.6
GOLDEN A,BC,1984,17.5,14.0
GOLDSTREAM RIVER,BC,1984,17.4,45.4
MICA DAM,BC,1984,17.1,28.4
REVELSTOKE AIRPORT RD,BC,1984,19.2,25.2
VALEMOUNT NORTH,BC,1984,16.5,43.2
YOHO NP WAPTA LAKE,BC,1984,11.8,36.8
GLACIER NP MT FIDELITY,BC,1984,11.1,56.7
YOHO NAT PARK BOULDER CR,BC,1984,15.2,19.7
ARRAS,BC,1984,14.0,36.9
BALDONNEL,BC,1984,15.5,45.4
BOUNDARY LAKE,BC,1984,14.3,31.0
BULLMOOSE,BC,1984,12.5,24.1
CHETWYND A,BC,1984,15.2,23.1
DAWSON CREEK A,BC,1984,14.9,45.6
DENISON PLANT SITE,BC,1984,15.9,9.2
FORT ST JOHN A,BC,1984,15.8,42.1
GERMANSEN LANDING,BC,1984,13.4,33.4
INGENIKA POINT,BC,1984,13.8,44.2
HUDSON HOPE BCHPA DAM,BC,1984,15.6,39.5
LONE PRAIRIE,BC,1984,15.1,29.0
MACKENZIE A,BC,1984,14.1,32.0
PRESPATOU,BC,1984,14.0,76.0
ROSE PRAIRIE,BC,1984,14.4,71.6
PINE PASS MT LEMORAY,BC,1984,14.8,7.0
PINK MOUNTAIN 2,BC,1984,13.9,80.3
TAYLOR 3SE,BC,1984,15.8,52.3
WARE,BC,1984,12.5,68.1
WOLVERINE RIVER,BC,1984,18.0,5.0
WONOWON,BC,1984,13.8,59.8
DEASE LAKE,BC,1984,11.5,20.4
FORT NELSON A,BC,1984,16.5,108.0
GOOD HOPE LAKE,BC,1984,13.5,22.2
MILE 306 ALASKA HWY,BC,1984,17.3,87.5
MUNCHO LAKE,BC,1984,13.1,101.0
TETSA RIVER,BC,1984,13.5,90.0
TOAD RIVER,BC,1984,14.4,108.1
ATLIN,BC,1984,11.8,6.4
BEARSKIN LAKE,BC,1984,10.1,31.3
BOB QUINN AGS,BC,1984,12.9,53.8
GRAHAM INLET,BC,1984,10.2,12.4
ISKUT RANCH,BC,1984,9.8,46.6
KUTCHO CREEK,BC,1984,8.2,63.8
MULE CREEK,BC,1984,8.1,8.5
PLEASANT CAMP,BC,1984,13.4,35.7
TELEGRAPH CREEK,BC,1984,14.9,23.6
TODAGIN RANCH,BC,1984,10.4,41.0
BEAVER CREEK A,YT,1984,12.6,75.7
BRAEBURN,YT,1984,12.6,11.6
BURWASH A,YT,1984,11.1,43.0
CARCROSS,YT,1984,10.5,13.5
CARMACKS,YT,1984,14.3,42.8
DAWSON A,YT,1984,14.0,91.2
DEZADEASH,YT,1984,10.2,5.1
DRURY CREEK,YT,1984,12.1,19.2
EAGLE PLAINS,YT,1984,12.2,125.2
ELSA,YT,1984,13.3,57.9
FARO A,YT,1984,13.7,16.6
HAINES JUNCTION,YT,1984,11.5,3.0
JOHNSONS CROSSING,YT,1984,11.7,23.0
KLONDIKE,YT,1984,9.7,87.5
KOMAKUK BEACH A,YT,1984,6.7,44.5
MAYO A,YT,1984,14.4,33.9
MAYO ROAD,YT,1984,13.4,13.5
OGILVIE RIVER,YT,1984,11.9,111.1
OLD CROW A,YT,1984,12.7,86.6
OTTER FALLS NCPC,YT,1984,11.3,4.0
PELLY RANCH,YT,1984,14.2,44.6
QUIET LAKE,YT,1984,12.4,14.7
QUILL CREEK,YT,1984,11.4,3.0
ROSS RIVER A,YT,1984,12.8,41.0
SHELDON LAKE,YT,1984,10.4,27.0
SHINGLE POINT A,YT,1984,10.0,47.0
HOUR LAKE,YT,1984,11.8,84.8
STEWART CROSSING,YT,1984,14.4,41.4
STEWART RIVER,YT,1984,15.3,29.0
SUNNYDALE,YT,1984,14.1,57.2
SWIFT RIVER,YT,1984,10.6,25.3
TAKHINI RIVER RANCH,YT,1984,12.1,19.2
TESLIN,YT,1984,12.6,9.6
TUCHITUA,YT,1984,12.4,50.1
WATSON LAKE A,YT,1984,14.2,45.0
WHITEHORSE A,YT,1984,12.5,19.9
WHITEHORSE RIVERDALE,YT,1984,13.5,9.1
AKLAVIK A,NT,1984,12.8,34.0
ANGUS TOWER,NT,1984,16.3,52.8
CAPE PARRY A,NT,1984,6.5,38.8
FORT GOOD HOPE A,NT,1984,16.8,45.2
FORT LIARD A,NT,1984,18.0,83.2
FORT MCPHERSON A,NT,1984,12.8,52.8
TULITA A,NT,1984,16.2,35.0
FORT RELIANCE,NT,1984,15.3,65.7
FORT RESOLUTION A,NT,1984,14.0,49.6
FORT SIMPSON A,NT,1984,16.8,103.0
FORT SMITH A,NT,1984,17.1,85.0
HAY RIVER A,NT,1984,16.3,98.0
HAY RIVER PARADISE GDNS,NT,1984,16.5,57.9
INUVIK A,NT,1984,12.3,29.8
NICHOLSON PENINSULA,NT,1984,8.1,12.4
NORMAN WELLS A,NT,1984,15.9,65.6
PINE POINT,NT,1984,16.8,112.3
TUKTOYAKTUK,NT,1984,9.8,17.5
TUKTOYAKTUK A,NT,1984,9.8,22.4
TUNGSTEN,NT,1984,10.1,80.3
WRIGLEY A,NT,1984,15.8,87.2
YELLOWKNIFE A,NT,1984,17.1,61.6
YELLOWKNIFE HYDRO,NT,1984,15.9,47.8
YOHIN,NT,1984,7.4,33.4
LITTLE DOCTOR LAKE,NT,1984,16.0,90.2
BAKER LAKE A,NU,1984,12.2,38.9
CLINTON POINT,NU,1984,7.9,66.2
KUGLUKTUK A,NU,1984,10.8,62.6
CORAL HARBOUR A,NU,1984,11.5,1.9
JENNY LIND ISLAND A,NU,1984,7.0,12.3
LADY FRANKLIN POINT A,NU,1984,7.9,20.7
LUPIN A,NU,1984,12.7,69.6
PELLY BAY,NU,1984,10.3,15.9
RANKIN INLET A,NU,1984,10.2,12.0
SHEPHERD BAY A,NU,1984,10.0,15.0
WHALE COVE,NU,1984,8.7,33.7
ALERT,NU,1984,4.3,45.2
FOX FIVE,NU,1984,7.2,17.4
BYRON BAY A,NU,1984,10.5,27.0
CAMBRIDGE BAY A,NU,1984,9.2,18.0
CAPE DORSET A,NU,1984,9.9,28.0
CAPE DYER A,NU,1984,8.6,19.0
CAPE HOOPER,NU,1984,7.4,5.9
CLYDE A,NU,1984,6.5,29.5
DEWAR LAKES,NU,1984,9.7,2.4
EUREKA,NU,1984,5.3,8.5
GLADMAN POINT A,NU,1984,9.2,22.8
HALL BEACH A,NU,1984,7.8,12.5
IGLOOLIK,NU,1984,8.7,10.6
IQALUIT A,NU,1984,9.0,46.8
KILLINEK,NU,1984,6.2,34.0
LONGSTAFF BLUFF,NU,1984,10.5,3.0
MACKAR INLET,NU,1984,9.6,15.3
NANISIVIK A,NU,1984,6.1,46.6
POND INLET A,NU,1984,7.7,28.8
REA POINT,NU,1984,3.7,5.1
RESOLUTE CARS,NU,1984,3.7,31.4
HOLMAN A,NT,1984,7.6,37.2
MOULD BAY A,NT,1984,3.1,35.8
SACHS HARBOUR A,NT,1984,4.8,24.9
ALDER FLATS LO,AB,1984,16.0,18.8
ANDREW,AB,1984,17.0,62.2
AURORA LO,AB,1984,15.8,71.2
BASELINE LO,AB,1984,12.4,29.6
BELLIS,AB,1984,15.5,55.5
BLACKSTONE LO,AB,1984,14.9,48.4
BRAZEAU LO,AB,1984,15.7,54.4
BRETON TOWN,AB,1984,17.3,9.6
BRIGHTVIEW,AB,1984,16.8,30.0
BROWNFIELD,AB,1984,17.1,23.6
CALMAR,AB,1984,16.5,46.0
CAMROSE,AB,1984,17.4,49.8
CHAILEY,AB,1984,15.6,43.8
CORONATION A,AB,1984,17.0,38.2
DAKOTA WEST,AB,1984,15.8,41.4
EDMONTON INT'L A,AB,1984,16.7,48.2
EDMONTON CITY CENTRE A,AB,1984,18.5,45.1
EDMONTON NAMAO A,AB,1984,17.1,65.7
EDMONTON STONY PLAIN,AB,1984,17.4,32.3
EDMONTON WOODBEND,AB,1984,16.5,34.0
ELK ISLAND NAT PARK,AB,1984,16.8,71.4
ELK POINT,AB,1984,16.2,43.8
ELLERSLIE,PE,1984,19.9,95.3
FABYAN,AB,1984,17.4,47.4
FORESTBURG PLANT SITE,AB,1984,18.4,23.0
FORT EDMONTON,AB,1984,17.9,46.2
FORT SASKATCHEWAN,AB,1984,16.8,52.8
GLENEVIS,AB,1984,16.7,41.8
GOODRIDGE RS,AB,1984,15.6,41.5
GWYNNE,AB,1984,16.6,39.0
HASTINGS LAKE,AB,1984,16.7,73.0
HIGHVALE,AB,1984,17.9,39.4
HUGHENDEN,AB,1984,18.0,16.4
KINSELLA RANCH,AB,1984,17.4,28.8
LLOYDMINSTER A,AB,1984,17.4,48.8
LAMONT,AB,1984,17.1,63.6
OLIVER TREE NURSERY,AB,1984,17.6,20.4
PARADISE VALLEY,AB,1984,17.0,37.5
PONOKA SOUTH,AB,1984,17.0,33.0
PRAIRIE CREEK RS,AB,1984,13.2,35.4
RANFURLY,AB,1984,17.2,55.2
ROCKY MTN HOUSE A,AB,1984,15.4,37.9
ST LINA,AB,1984,16.4,52.8
SEDALIA EAST,AB,1984,18.6,62.0
SHALKA LAKE NE,AB,1984,17.0,49.6
SION,AB,1984,17.2,56.4
STETTLER NORTH,AB,1984,16.6,37.4
TOFIELD NORTH,AB,1984,16.3,69.8
TULLIBY LAKE,AB,1984,17.4,67.4
VEGREVILLE CDA,AB,1984,16.2,79.1
VERMILION RIVER,AB,1984,17.3,50.6
VIKING,AB,1984,17.4,47.8
WAINWRIGHT HEATH,AB,1984,17.8,41.9
WARWICK,AB,1984,16.7,46.4
VEGREVILLE,AB,1984,16.6,60.2
HORBURG,AB,1984,15.8,33.2
ATLEE,AB,1984,20.2,31.0
BIG STONE,AB,1984,19.3,64.8
BINDLOSS EAST,AB,1984,20.7,42.6
BLOOD INDIAN CREEK,AB,1984,20.2,40.6
BOWDEN,AB,1984,16.8,65.6
BROOKS ONE TREE,AB,1984,18.9,43.6
BURNSTICK LO,AB,1984,14.9,56.6
ARNESON,AB,1984,20.2,47.1
DICKSON DAM,AB,1984,17.2,65.2
DRUMHELLER CITY,AB,1984,19.2,76.6
ECKVILLE SOUTH,AB,1984,15.3,42.8
EMPRESS,AB,1984,21.0,43.0
